AL669831.5	AL669831.5
FAM41C	FAM41C
AL645608.3	AL645608.3
AL645608.1	AL645608.1
SAMD11	SAMD11
NOC2L	NOC2L
KLHL17	KLHL17
HES4	HES4
ISG15	ISG15
AGRN	AGRN
C1orf159	C1orf159
SDF4	SDF4
B3GALT6	B3GALT6
UBE2J2	UBE2J2
ACAP3	ACAP3
PUSL1	PUSL1
INTS11	INTS11
CPTP	CPTP
DVL1	DVL1
MXRA8	MXRA8
CCNL2	CCNL2
MRPL20	MRPL20
VWA1	VWA1
ATAD3B	ATAD3B
ATAD3A	ATAD3A
SSU72	SSU72
FNDC10	FNDC10
AL691432.2	AL691432.2
MIB2	MIB2
MMP23B	MMP23B
CDK11B	CDK11B
SLC35E2B	SLC35E2B
CDK11A	CDK11A
SLC35E2A	SLC35E2A
NADK	NADK
GNB1	GNB1
TMEM52	TMEM52
PRKCZ	PRKCZ
FAAP20	FAAP20
SKI	SKI
MORN1	MORN1
RER1	RER1
PEX10	PEX10
PANK4	PANK4
FAM213B	FAM213B
TPRG1L	TPRG1L
WRAP73	WRAP73
SMIM1	SMIM1
LRRC47	LRRC47
CEP104	CEP104
DFFB	DFFB
C1orf174	C1orf174
NPHP4	NPHP4
AL031847.1	AL031847.1
RNF207	RNF207
ICMT	ICMT
LINC00337	LINC00337
GPR153	GPR153
ACOT7	ACOT7
ESPN	ESPN
PLEKHG5	PLEKHG5
NOL9	NOL9
ZBTB48	ZBTB48
KLHL21	KLHL21
PHF13	PHF13
THAP3	THAP3
DNAJC11	DNAJC11
CAMTA1	CAMTA1
VAMP3	VAMP3
PER3	PER3
ERRFI1	ERRFI1
RERE	RERE
GPR157	GPR157
H6PD	H6PD
SPSB1	SPSB1
SLC25A33	SLC25A33
TMEM201	TMEM201
PIK3CD-AS2	PIK3CD-AS2
CLSTN1	CLSTN1
CTNNBIP1	CTNNBIP1
LZIC	LZIC
NMNAT1	NMNAT1
UBE4B	UBE4B
KIF1B	KIF1B
PGD	PGD
CENPS	CENPS
DFFA	DFFA
PEX14	PEX14
TARDBP	TARDBP
EXOSC10	EXOSC10
AL109811.2	AL109811.2
MTOR	MTOR
UBIAD1	UBIAD1
FBXO2	FBXO2
FBXO44	FBXO44
MAD2L2	MAD2L2
AGTRAP	AGTRAP
MTHFR	MTHFR
CLCN6	CLCN6
KIAA2013	KIAA2013
PLOD1	PLOD1
MFN2	MFN2
MIIP	MIIP
VPS13D	VPS13D
PRDM2	PRDM2
KAZN	KAZN
TMEM51	TMEM51
EFHD2	EFHD2
CASP9	CASP9
DNAJC16	DNAJC16
DDI2	DDI2
PLEKHM2	PLEKHM2
FBLIM1	FBLIM1
UQCRHL	UQCRHL
AL450998.2	AL450998.2
SPEN	SPEN
ZBTB17	ZBTB17
EPHA2	EPHA2
ARHGEF19	ARHGEF19
FBXO42	FBXO42
SZRD1	SZRD1
NECAP2	NECAP2
NBPF1	NBPF1
CROCC	CROCC
MFAP2	MFAP2
ATP13A2	ATP13A2
SDHB	SDHB
RCC2	RCC2
ALDH4A1	ALDH4A1
UBR4	UBR4
EMC1	EMC1
MRTO4	MRTO4
AKR7A2	AKR7A2
PQLC2	PQLC2
CAPZB	CAPZB
MINOS1	MINOS1
NBL1	NBL1
OTUD3	OTUD3
CAMK2N1	CAMK2N1
MUL1	MUL1
PINK1	PINK1
DDOST	DDOST
HP1BP3	HP1BP3
EIF4G3	EIF4G3
ECE1	ECE1
USP48	USP48
HSPG2	HSPG2
CDC42	CDC42
ZBTB40	ZBTB40
EPHA8	EPHA8
KDM1A	KDM1A
LUZP1	LUZP1
LINC01355	LINC01355
HNRNPR	HNRNPR
ZNF436	ZNF436
ZNF436-AS1	ZNF436-AS1
ASAP3	ASAP3
E2F2	E2F2
ELOA	ELOA
ELOA-AS1	ELOA-AS1
PITHD1	PITHD1
LYPLA2	LYPLA2
GALE	GALE
HMGCL	HMGCL
FUCA1	FUCA1
PNRC2	PNRC2
SRSF10	SRSF10
STPG1	STPG1
NIPAL3	NIPAL3
RCAN3	RCAN3
SRRM1	SRRM1
CLIC4	CLIC4
SYF2	SYF2
RSRP1	RSRP1
TMEM50A	TMEM50A
MACO1	MACO1
LDLRAP1	LDLRAP1
SELENON	SELENON
MTFR1L	MTFR1L
AUNIP	AUNIP
PAQR7	PAQR7
PAFAH2	PAFAH2
PDIK1L	PDIK1L
FAM110D	FAM110D
ZNF593	ZNF593
CEP85	CEP85
SH3BGRL3	SH3BGRL3
UBXN11	UBXN11
LIN28A	LIN28A
DHDDS	DHDDS
RPS6KA1	RPS6KA1
ARID1A	ARID1A
PIGV	PIGV
ZDHHC18	ZDHHC18
GPN2	GPN2
GPATCH3	GPATCH3
NUDC	NUDC
TRNP1	TRNP1
SLC9A1	SLC9A1
WDTC1	WDTC1
TMEM222	TMEM222
SYTL1	SYTL1
MAP3K6	MAP3K6
GPR3	GPR3
WASF2	WASF2
AHDC1	AHDC1
IFI6	IFI6
FAM76A	FAM76A
STX12	STX12
PPP1R8	PPP1R8
RPA2	RPA2
XKR8	XKR8
EYA3	EYA3
DNAJC8	DNAJC8
AL353622.1	AL353622.1
SESN2	SESN2
MED18	MED18
PHACTR4	PHACTR4
RCC1	RCC1
TRNAU1AP	TRNAU1AP
SNHG12	SNHG12
TAF12	TAF12
GMEB1	GMEB1
YTHDF2	YTHDF2
EPB41	EPB41
TMEM200B	TMEM200B
SRSF4	SRSF4
MECR	MECR
SDC3	SDC3
PUM1	PUM1
SNRNP40	SNRNP40
ZCCHC17	ZCCHC17
FABP3	FABP3
SERINC2	SERINC2
PEF1	PEF1
ADGRB2	ADGRB2
PTP4A2	PTP4A2
KHDRBS1	KHDRBS1
TMEM39B	TMEM39B
KPNA6	KPNA6
TXLNA	TXLNA
CCDC28B	CCDC28B
TMEM234	TMEM234
EIF3I	EIF3I
HDAC1	HDAC1
BSDC1	BSDC1
ZBTB8A	ZBTB8A
ZBTB8OS	ZBTB8OS
RBBP4	RBBP4
SYNC	SYNC
YARS	YARS
S100PBP	S100PBP
FNDC5	FNDC5
TMEM54	TMEM54
RNF19B	RNF19B
AK2	AK2
ZNF362	ZNF362
PHC2	PHC2
SMIM12	SMIM12
ZMYM6	ZMYM6
ZMYM1	ZMYM1
SFPQ	SFPQ
ZMYM4	ZMYM4
KIAA0319L	KIAA0319L
NCDN	NCDN
PSMB2	PSMB2
C1orf216	C1orf216
CLSPN	CLSPN
AGO1	AGO1
AGO3	AGO3
ADPRHL2	ADPRHL2
TRAPPC3	TRAPPC3
MAP7D1	MAP7D1
THRAP3	THRAP3
EVA1B	EVA1B
STK40	STK40
LSM10	LSM10
OSCP1	OSCP1
MRPS15	MRPS15
MEAF6	MEAF6
SNIP1	SNIP1
GNL2	GNL2
C1orf109	C1orf109
CDCA8	CDCA8
MANEAL	MANEAL
YRDC	YRDC
C1orf122	C1orf122
MTF1	MTF1
INPP5B	INPP5B
SF3A3	SF3A3
FHL3	FHL3
UTP11	UTP11
RRAGC	RRAGC
MYCBP	MYCBP
AKIRIN1	AKIRIN1
MACF1	MACF1
PABPC4	PABPC4
HEYL	HEYL
PPIE	PPIE
TRIT1	TRIT1
MFSD2A	MFSD2A
CAP1	CAP1
PPT1	PPT1
RLF	RLF
AL050341.2	AL050341.2
ZMPSTE24	ZMPSTE24
SMAP2	SMAP2
ZFP69B	ZFP69B
EXO5	EXO5
ZNF684	ZNF684
NFYC	NFYC
CITED4	CITED4
CTPS1	CTPS1
SCMH1	SCMH1
HIVEP3	HIVEP3
FOXJ3	FOXJ3
RIMKLA	RIMKLA
PPCS	PPCS
PPIH	PPIH
P3H1	P3H1
C1orf50	C1orf50
SVBP	SVBP
ERMAP	ERMAP
ZNF691	ZNF691
SLC2A1	SLC2A1
EBNA1BP2	EBNA1BP2
CDC20	CDC20
ELOVL1	ELOVL1
MED8	MED8
SZT2	SZT2
PTPRF	PTPRF
KDM4A	KDM4A
KDM4A-AS1	KDM4A-AS1
